Player,Market Value
Pathé Ciss,€2.00m
Souleymane Cissé,€75k
Patrick Ciurria,€1.00m
Bobby Clark,€7.00m
Alexis Claude-Maurice,€15.00m
Jonathan Clauss,€4.50m
Carlos Clerc,€200k
Nathaniel Clyne,€500k
Conor Coady,€1.50m
Marcus Coco,€850k
Alexandre Coeff,€200k
Jack Colback,-
Séamus Coleman,€300k
David ?olina,€750k
Álex Collado,€2.00m
Diego Collado,€400k
Omar Colley,€1.50m
Nathan Collins,€30.00m
Rayan Aït Nouri,Not Found
Emanuel Aiwum,Not Found
Jean-Daniel Akpa-Akpro,Not Found
Doðan Alemdar,Not Found
Éder Álvarez Balanta,Not Found
Mehmet-Can Aydin,Not Found
Mickaël Barreto,Not Found
Toma Bai?,Not Found
Jeanöel Belocian,Not Found
Victor Bernth Kristiansen,Not Found
Kouamé Botué,Not Found
Wassim Boullif,Not Found
Ismaëlben Boura,Not Found
Darko Braanac,Not Found
Hakan Çalhanoðlu,Not Found
Dani Carvajal,Not Found
Ilyes Cheti,Not Found
Tolga Ciðerci,Not Found
Lorenzo Colombo,€10.00m
Andrea Colpani,€5.00m
Levi Colwill,€50.00m
Kingsley Coman,€22.00m
Eray Cömert,€2.50m
Santi Comesaña,€8.00m
Andrea Consigli,Not Found
Abdu Conté,€700k
Andrea Conti,Not Found
Lewis Cook,€13.00m
Steve Cook,€300k
Liam Cooper,€300k
Copete,€10.00m
Diego Coppola,€10.00m
Francis Coquelin,€800k
Sébastien Corchia,Not Found
Maxwel Cornet,€2.50m
Jesús Corona,€1.80m
Ángel Correa,€9.00m
Joaquín Correa,€2.00m
Thierry Correia,€3.00m
Alessandro Cortinovis,€325k
Danny da Costa,€1.20m
David Pereira da Costa,€6.00m
Diego Costa,Not Found
Jaume Costa,Not Found
Logan Costa,€18.00m
Nuno da Costa,€500k
Samu Costa,€15.00m
Benoît Costil,Not Found
Vladimír Coufal,€2.70m
Lassana Coulibaly,€2.50m
Tanguy Coulibaly,€1.20m
Thibaut Courtois,€18.00m
Mathieu Coutadeur,Not Found
Philippe Coutinho,€2.50m
Yan Couto,€20.00m
Conor Coventry,€2.00m
Nicolas Cozza,€3.00m
Aaron Cresswell,€450k
Bryan Cristante,€7.00m
Domen ?rnigoj,€250k
Juan Cruz Armada,Not Found
Juan Cruz,€125k
Juan Cuadrado,€1.00m
Marc Cucurella,€50.00m
Jorge Cuenca,€8.00m
Braian Cufré,€1.50m
Mickaël Cuisance,€3.50m
Matheus Cunha,€70.00m
Curro,Not Found
Marco D'Alessandro,€175k
Danilo D'Ambrosio,Not Found
Luca D'Andrea,€500k
Damien Da Silva,€200k
Moanes Dabbur,€1.00m
Colin Dagba,€500k
Finn Dahmen,€12.00m
Mahmoud Dahoud,€2.00m
Patson Daka,€5.00m
Thijs Dallinga,€12.00m
Diogo Dalot,€30.00m
Muhammed Damar,€5.00m
Mikkel Damsgaard,€30.00m
Flavius Daniliuc,€3.00m
Danilo,€2.50m
Arnaut Danjuma,€4.00m
Kevin Danso,€20.00m
Dante,€500k
Márton Dárdai,€2.50m
Sergi Darder,€3.50m
Achraf Dari,€1.20m
Vladimír Darida,€400k
Matteo Darmian,€1.50m
Josh Dasilva,€2.00m
Jonathan David,€35.00m
Alphonso Davies,€45.00m
Ben Davies,€5.00m
Tom Davies,€3.00m
Pawe? Dawidowicz,€1.00m
Craig Dawson,€500k
Kevin De Bruyne,€10.00m
Charles De Ketelaere,€35.00m
Manuel De Luca,€1.50m
Rodrigo De Paul,€15.00m
Mattia De Sciglio,€400k
Lorenzo De Silvestri,€700k
Thibault De Smet,€2.00m
Koni De Winter,€23.00m
Grégoire Defrel,€350k
Duccio Degli Innocenti,€1.40m
Brecht Dejaegere,€300k
Romain Del Castillo,€7.00m
Alberto Del Moral,€800k
Thomas Delaine,€350k
Thomas Delaney,€800k
Sacha Delaye,€250k
Fran Delgado,€225k
Andy Delort,Not Found
Karamoko Dembele,€2.00m
Moussa Dembélé,€7.50m
Ousmane Dembélé,€100.00m
Siriki Dembélé,€1.20m
Merih Demiral,€14.00m
Kerem Demirbay,€1.20m
Ermedin Demirovi?,€22.00m
Diego Demme,€300k
Sepp van den Berg,€32.00m
Branco van den Boomen,€2.50m
Leander Dendoncker,€3.00m
Emmanuel Dennis,€2.00m
Fabio Depaoli,€900k
Kastriot Dermaku,Not Found
Halil Derviþoðlu,Not Found
Rémy Descamps,€2.00m
Mikkel Desler,€1.50m
Cyriel Dessers,€3.50m
Sergiño Dest,€18.00m
Mattia Destro,€200k
Gerard Deulofeu,€200k
Kiernan Dewsbury-Hall,€32.00m
Samuel Di Carmine,€200k
Federico Di Francesco,€750k
Michele Di Gregorio,€14.00m
Giovanni Di Lorenzo,€10.00m
Ángel Di María,€2.00m
Boulaye Dia,€7.00m
Moussa Diaby,€28.00m
Mouctar Diakhaby,€2.00m
Bafodé Diakité,€30.00m
Ibrahim Diakité,€1.20m
Abdou Diallo,€4.50m
Baila Diallo,€800k
Habib Diallo,€5.00m
Ibrahima Diallo,€3.80m
Ismael Diallo,€750k
Mamady Diarra,€250k
Mouhamadou Diarra,€32.00m
Moussa Diarra,€1.50m
Stéphane Diarra,Not Found
Youba Diarra,€400k
Rúben Dias,€60.00m
Krépin Diatta,€6.00m
Mory Diaw,€1.00m
Brahim Díaz,€35.00m
Luis Díaz,€70.00m
Justin Diehl,€1.80m
Bamba Dieng,€6.00m
Eric Dier,€5.00m
Florian Dietz,€250k
Lucas Digne,€8.00m
Federico Dimarco,€50.00m
Stole Dimitrievski,€2.00m
Junior Dina Ebimbe,€6.00m
Tristan Dingomé,Not Found
Eren Dinkçi,€6.00m
Sinaly Diomande,€5.00m
Lois Diony,€700k
Issa Diop,€10.00m
Sofiane Diop,€12.00m
Yehvann Diouf,€7.00m
Axel Disasi,€15.00m
Malcom Abdulai Ares Djalo,€1.20m
Tiago Djaló,€7.00m
Djené,€1.60m
Moussa Djenepo,€1.20m
Koffi Djidji,Not Found
Alexander Djiku,€4.00m
Berat Djimsiti,€5.00m
Moussa Djitte,€500k
Marko Dmitrovi?,€800k
Alan Do Marcolino,€175k
Ben Doak,€16.00m
Ritsu Doan,€20.00m
Dodô,€18.00m
Danilho Doekhi,€13.00m
Matt Doherty,€1.50m
Josh Doig,€5.00m
Jeremy Doku,€65.00m
Kasper Dolberg,€10.00m
Carlos Dominguez,€3.00m
Nicolás Domínguez,€16.00m
John Donald,€1.00m
Giulio Donati,€200k
Kyliane Dong,€600k
Gianluigi Donnarumma,€45.00m
Niklas Dorsch,€3.00m
Gabriel Dos Santos,€75.00m
Jodel Dossou,€125k
Lohann Doucet,€600k
