Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,Goals,SoT,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasMedCmp,PasMedAtt,PasLonCmp,PasLonAtt,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,TI,CK,CkIn,CkOut,CkStr,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToTkl,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,OG,Recov,AerWon,AerLost,Market Value,Market Value Euros,90s,SoT%,PasTotCmp%,PasShoCmp%,PasMedCmp%,PasLonCmp%,TklDri%,ToSuc%,ToTkl%,AerWon%,Market Value Log,Goals_per90,Assists_per90,SCA_per90,GCA_per90,PasProg_per90,Carries_per90,Tkl_per90,Int_per90,Age_Premium,Superstar_Index,Elite_Market_Signal,Potential_Score
Marcos Llorente,ESP,MFDF,Atlético Madrid,La Liga,28,13,12,1016,1,0.18,5.555555555555555,5.555555555555555,16.9,0.0,0.0,0.0,33.3,42.0,497.2,137.1,17.9,19.8,11.3,14.4,2.04,3.54,0.0,1.42,2.3,1.59,0.27,4.51,42.0,38.1,3.72,0.0,0.09,0.27,2.65,3.72,0.0,0.0,0.0,0.0,33.3,0.18,1.42,3.19,2.83,0.09,0.0,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,1.86,0.97,1.15,0.44,0.27,1.24,1.77,0.53,1.24,0.0,1.24,1.06,2.92,0.97,0.0,52.0,1.86,11.8,20.4,20.5,2.92,52.0,1.33,0.44,0.71,29.3,174.2,99.2,3.27,2.39,0.88,1.42,0.62,33.5,7.79,0.09,0.0,0.0,1.42,0.8,0.09,2.65,0.97,0.0,0.0,4.96,0.71,1.06,€22.00m,22000000.0,11.28888888888889,18.0,79.28571428571428,90.4040404040404,78.47222222222221,57.6271186440678,70.05649717514125,33.08270676691729,53.38345864661653,40.112994350282484,16.906553056777135,0.08858267716535433,0.0,0.2825787401574803,0.007972440944881889,0.399507874015748,2.595472440944882,0.16476377952755905,0.09389763779527559,1.0,0.12866633858267718,0.12866633858267718,4
Marcos Senesi,ARG,DF,Bournemouth,Premier League,25,18,17,1428,1,0.06,16.666666666666668,16.666666666666668,5.1,0.0,0.0,0.0,36.2,46.2,732.5,324.7,10.9,12.6,20.4,23.1,4.34,8.68,0.0,0.19,2.7,0.13,0.06,1.7,46.2,43.0,2.83,1.89,0.0,0.5,0.38,0.88,0.0,0.0,0.0,0.0,36.2,0.38,0.63,0.44,0.38,0.06,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,2.08,1.38,1.45,0.63,0.0,0.94,1.45,0.5,1.38,0.75,0.63,1.45,3.52,5.09,0.0,57.5,11.6,37.8,18.6,1.76,0.5,57.5,0.31,0.19,0.13,30.9,143.5,79.3,0.19,0.25,0.0,0.63,0.25,32.9,0.06,0.13,0.0,0.0,0.94,0.5,0.0,0.38,1.38,0.0,0.0,5.72,0.75,0.69,€22.00m,22000000.0,15.866666666666667,6.0,78.35497835497836,86.5079365079365,88.3116883116883,50.0,64.82758620689654,61.29032258064516,41.935483870967744,52.083333333333336,16.906553056777135,0.06302521008403361,0.0,0.02773109243697479,0.0037815126050420164,0.10714285714285714,1.9474789915966384,0.13109243697478992,0.09138655462184873,1.4,0.038886554621848736,0.05444117647058823,4
Marcus Coco,FRA,DFFW,Nantes,Ligue 1,26,14,3,292,1,0.31,3.2258064516129035,3.2258064516129035,15.4,0.0,0.0,0.0,29.4,40.9,454.7,161.3,17.2,21.6,8.44,10.9,2.5,5.94,0.0,1.25,1.56,0.94,0.63,3.75,40.9,37.8,3.13,0.94,0.0,0.0,3.75,1.88,0.31,0.0,0.31,0.0,29.4,0.0,1.88,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.81,1.56,1.56,0.31,0.94,0.63,2.19,1.56,1.88,0.94,0.94,2.19,5.0,1.25,0.0,55.9,2.5,14.1,21.9,21.6,4.38,55.9,0.94,0.31,0.63,38.8,245.0,134.4,3.13,0.63,0.63,2.81,1.88,34.7,7.19,0.0,0.0,0.0,1.88,2.5,0.63,3.75,1.56,0.0,0.0,8.13,2.81,3.13,€850k,850000.0,3.2444444444444445,31.0,71.88264058679707,79.62962962962962,77.43119266055045,42.08754208754208,28.767123287671232,32.97872340425532,67.02127659574468,47.306397306397315,13.652992804936396,0.3082191780821918,0.0,0.7705479452054794,0.0,1.1558219178082192,11.95890410958904,0.8660958904109589,0.6749999999999999,1.0,0.3775684931506849,0.3775684931506849,4
Marcus Ingvartsen,DEN,FWMF,Mainz 05,Bundesliga,27,14,8,633,6,0.71,8.450704225352114,8.450704225352114,17.2,0.0,0.43,0.43,14.6,23.4,196.1,41.4,9.0,13.3,4.29,6.57,0.57,1.0,0.0,0.57,0.71,0.43,0.0,2.0,23.4,22.9,0.43,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,14.6,0.14,0.57,1.43,1.0,0.0,0.29,0.14,0.0,0.0,0.29,0.29,0.0,0.0,0.0,0.0,0.0,0.43,0.14,0.0,0.14,0.29,0.14,0.71,0.57,0.71,0.14,0.57,0.14,0.57,0.71,0.0,38.7,0.71,3.29,17.6,18.1,5.29,38.3,2.29,0.86,1.29,22.9,87.3,26.7,1.14,0.29,0.71,4.43,0.86,29.4,7.0,0.0,0.0,0.0,2.29,1.43,0.86,0.43,0.14,0.0,0.0,2.86,2.43,4.14,€2.50m,2500000.0,7.033333333333333,11.833333333333334,62.39316239316239,67.66917293233082,65.29680365296804,56.99999999999999,19.71830985915493,37.55458515283843,56.33187772925764,36.986301369863014,14.731801689838349,0.8530805687203792,0.0,0.2033175355450237,0.041232227488151654,0.2843601895734597,3.2559241706161135,0.06113744075829384,0.01990521327014218,1.0,0.37386255924170614,0.37386255924170614,4
Marcus Rashford,ENG,FW,Manchester Utd,Premier League,25,22,20,1795,11,1.31,8.396946564885496,8.396946564885496,15.9,0.2,0.0,0.0,19.4,25.8,280.3,66.2,12.6,15.0,4.62,5.73,1.31,2.21,0.15,0.85,1.06,1.61,0.1,2.61,25.8,25.3,0.35,0.0,0.1,0.15,0.8,0.25,0.0,0.0,0.0,0.0,19.4,0.2,1.11,2.66,1.76,0.0,0.4,0.35,0.1,0.05,0.4,0.25,0.0,0.1,0.0,0.05,0.0,0.8,0.3,0.25,0.35,0.2,0.3,0.7,0.4,1.21,0.15,1.06,0.25,1.06,0.3,0.0,38.2,0.5,3.32,14.7,21.0,5.48,38.2,3.77,1.31,2.06,23.1,148.4,69.2,2.51,1.61,1.51,2.61,1.36,29.5,7.44,0.1,0.0,0.0,0.4,0.75,0.45,0.8,0.3,0.0,0.0,2.96,0.85,1.51,€40.00m,40000000.0,19.944444444444443,11.90909090909091,75.19379844961239,84.0,80.6282722513089,59.276018099547514,42.85714285714286,34.748010610079575,54.64190981432361,36.016949152542374,17.50439003707821,0.5515320334261838,0.0075208913649025076,0.13337047353760448,0.02005571030640669,0.13086350974930364,1.1582172701949862,0.04011142061281338,0.01253481894150418,1.4,0.23730919220055707,0.33223286908077987,4
Marcus Tavernier,ENG,MFFW,Bournemouth,Premier League,23,16,15,1311,2,0.62,3.2258064516129035,3.2258064516129035,17.4,0.14,0.0,0.0,24.0,35.1,385.6,100.3,13.6,16.5,7.19,10.2,2.26,5.68,0.27,1.03,1.37,0.55,0.21,2.19,35.1,29.5,5.62,1.37,0.14,0.41,5.27,1.3,2.74,1.51,0.62,0.21,24.0,0.07,1.16,2.33,1.44,0.48,0.14,0.14,0.14,0.0,0.48,0.21,0.14,0.0,0.14,0.0,0.0,1.71,1.1,0.96,0.68,0.07,0.48,1.03,0.55,1.03,0.07,0.96,0.27,1.99,1.44,0.0,49.3,1.64,10.1,19.5,21.5,3.01,49.3,4.73,2.05,2.26,28.3,199.3,96.6,3.36,2.26,1.1,2.47,2.05,30.4,6.85,0.07,0.0,0.0,0.82,1.78,0.27,5.27,1.1,0.0,0.0,6.37,0.89,1.51,€23.00m,23000000.0,14.566666666666666,31.0,68.37606837606837,82.42424242424242,70.49019607843138,39.78873239436619,46.60194174757281,43.34038054968287,47.78012684989428,37.083333333333336,16.951004817371683,0.13729977116704806,0.018535469107551487,0.15995423340961099,0.032951945080091534,0.15034324942791763,1.94279176201373,0.11739130434782609,0.018535469107551487,1.4,0.1037299771167048,0.1452219679633867,7
Marcus Thuram,FRA,FW,M'Gladbach,Bundesliga,25,18,18,1612,10,1.73,5.780346820809249,5.780346820809249,13.0,0.0,0.0,0.0,12.9,17.7,168.5,31.1,7.71,9.66,3.74,4.92,0.28,0.56,0.17,0.84,0.45,0.67,0.0,1.84,17.7,16.1,1.51,0.0,0.06,0.0,0.28,0.0,0.0,0.0,0.0,0.0,12.9,0.06,0.73,2.46,1.34,0.0,0.5,0.34,0.11,0.17,0.45,0.17,0.0,0.11,0.11,0.06,0.0,0.67,0.28,0.11,0.28,0.28,0.34,0.45,0.11,0.5,0.11,0.39,0.28,0.95,0.67,0.0,30.6,1.23,2.57,13.4,15.1,5.92,30.6,3.07,1.34,1.06,19.3,122.1,67.2,2.74,1.4,1.62,3.35,1.56,22.8,5.59,0.11,0.0,0.0,1.34,1.51,0.78,0.28,0.28,0.0,0.0,2.57,1.28,2.12,€50.00m,50000000.0,17.91111111111111,17.299999999999997,72.88135593220339,79.8136645962733,76.01626016260164,50.0,75.55555555555556,43.648208469055376,34.52768729641694,37.64705882352941,17.72753358339242,0.5583126550868486,0.009491315136476428,0.13734491315136477,0.02512406947890819,0.10272952853598015,1.0775434243176178,0.03740694789081886,0.015632754342431762,1.4,0.23881823821339948,0.33434553349875923,4
Marcão,BRA,DF,Sevilla,La Liga,26,4,4,360,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,52.8,760.8,308.0,22.5,24.3,21.3,22.8,2.0,4.75,0.0,0.0,4.0,0.0,0.0,3.25,52.8,51.0,1.5,1.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.25,0.25,0.0,0.25,0.25,0.0,0.75,0.75,0.0,1.25,1.75,3.25,0.0,61.8,6.0,28.8,31.8,1.25,0.0,61.8,0.25,0.25,0.0,36.5,201.3,103.5,0.25,0.0,0.0,2.0,0.0,45.8,0.0,0.5,0.0,0.0,1.25,1.5,0.0,0.0,0.5,0.0,0.0,3.5,1.5,1.0,€2.50m,2500000.0,4.0,0.0,87.12121212121212,92.5925925925926,93.42105263157895,42.10526315789473,100.0,100.0,0.0,60.0,14.731801689838349,0.0,0.0,0.0,0.0,0.8125,9.125,0.125,0.3125,1.0,0.08125,0.08125,4
Marek Rodák,SVK,GK,Fulham,Premier League,26,2,2,180,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,30.5,585.0,518.5,1.5,1.5,4.0,4.5,8.5,24.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,19.0,11.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,32.5,29.0,32.5,0.0,0.0,0.0,32.5,0.0,0.0,0.0,18.0,103.0,47.0,0.0,0.0,0.0,0.5,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,0.0,€2.80m,2800000.0,2.0,0.0,47.540983606557376,100.0,88.88888888888889,35.41666666666667,0.0,0.0,0.0,100.0,14.845130332288226,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,4
Mariano,DOM,FW,Real Madrid,La Liga,29,5,0,44,0,0.0,0.0,0.0,10.3,0.0,0.0,0.0,14.0,20.0,256.0,64.0,10.0,14.0,2.0,4.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,20.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,32.0,0.0,2.0,10.0,20.0,10.0,32.0,0.0,0.0,0.0,20.0,120.0,70.0,2.0,0.0,0.0,2.0,4.0,22.0,6.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,€5.00m,5000000.0,0.4888888888888889,0.0,70.0,71.42857142857143,50.0,100.0,0.0,0.0,0.0,50.0,15.424948670398354,0.0,0.0,4.090909090909091,0.0,4.090909090909091,40.909090909090914,4.090909090909091,0.0,1.0,1.2272727272727273,1.2272727272727273,4
Marin Pongra?i?,CRO,DF,Lecce,Serie A,25,9,9,790,0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,33.6,41.0,725.9,263.0,8.3,10.7,19.4,22.2,5.34,7.16,0.0,0.23,1.82,0.23,0.0,2.16,41.0,36.8,4.2,4.2,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,33.6,0.0,0.11,0.68,0.45,0.11,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,1.59,0.91,0.8,0.11,0.57,0.68,0.11,0.45,0.34,0.11,1.82,3.64,3.52,0.0,49.4,5.45,26.4,22.8,1.25,0.45,49.4,0.23,0.23,0.0,25.3,169.4,85.7,0.34,0.11,0.0,0.57,0.0,23.9,0.11,0.23,0.0,0.0,1.7,0.0,0.0,0.0,1.59,0.0,0.0,6.7,1.02,1.14,€7.50m,7500000.0,8.777777777777779,0.0,81.95121951219512,77.57009345794394,87.38738738738738,74.58100558659217,83.8235294117647,100.0,0.0,47.22222222222222,15.830413711839864,0.0,0.0,0.07746835443037975,0.0,0.2460759493670886,2.882278481012658,0.20734177215189872,0.20734177215189872,1.4,0.04010126582278481,0.05614177215189873,4
Mario Gila,ESP,DF,Lazio,Serie A,22,4,0,90,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,61.0,953.0,330.0,25.0,27.0,24.0,26.0,6.0,7.0,0.0,0.0,1.0,0.0,0.0,6.0,61.0,56.0,5.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,6.0,3.0,0.0,71.0,6.0,36.0,33.0,2.0,0.0,71.0,0.0,0.0,0.0,42.0,247.0,99.0,1.0,1.0,0.0,1.0,1.0,46.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,3.0,€30.00m,30000000.0,1.0,0.0,91.80327868852459,92.5925925925926,92.3076923076923,85.71428571428571,0.0,0.0,0.0,0.0,17.216707972959764,0.0,0.0,0.0,0.0,6.0,42.0,3.0,3.0,1.8,0.6000000000000001,1.0800000000000003,7
Mario Götze,GER,MF,Eint Frankfurt,Bundesliga,30,19,19,1603,2,0.34,5.88235294117647,5.88235294117647,18.6,0.0,0.0,0.0,37.9,50.4,549.7,156.7,21.6,25.2,12.4,15.6,1.91,4.49,0.06,1.35,2.92,1.29,0.34,4.78,50.4,47.0,2.92,0.96,0.45,0.28,2.02,0.39,0.62,0.17,0.39,0.0,37.9,0.51,1.63,3.26,2.75,0.28,0.0,0.17,0.0,0.06,0.67,0.56,0.0,0.0,0.11,0.0,0.0,1.35,0.73,0.39,0.62,0.34,0.45,1.52,1.07,0.9,0.0,0.9,0.62,1.97,0.39,0.0,59.7,0.67,7.58,31.6,21.2,2.25,59.7,2.3,0.79,1.35,35.3,146.4,68.5,1.85,1.69,0.28,1.91,1.4,43.3,5.96,0.06,0.0,0.0,0.79,1.63,0.11,2.02,0.73,0.0,0.0,5.79,0.0,0.34,€3.50m,3500000.0,17.81111111111111,17.0,75.1984126984127,85.71428571428572,79.48717948717949,42.538975501113576,29.605263157894733,34.34782608695652,58.69565217391305,0.0,15.068273812173887,0.11228945726762321,0.0033686837180286963,0.1830318153462258,0.03761696818465378,0.2683718028696195,1.9819089207735496,0.07579538365564567,0.034809731752963195,1.0,0.10906113537117904,0.10906113537117904,4
Mario Hermoso,ESP,DF,Atlético Madrid,La Liga,27,8,6,532,2,0.68,2.941176470588235,2.941176470588235,16.4,0.0,0.0,0.0,51.9,60.3,1107.5,402.4,14.1,15.4,29.3,30.8,7.8,12.2,0.0,0.51,2.71,0.17,0.0,3.73,60.3,56.8,3.39,2.37,0.0,1.36,0.0,1.02,0.0,0.0,0.0,0.0,51.9,0.17,0.17,1.36,1.02,0.0,0.0,0.34,0.0,0.0,0.17,0.0,0.0,0.0,0.17,0.0,0.0,0.34,0.17,0.17,0.0,0.17,0.0,0.34,0.34,1.69,0.85,0.85,0.68,1.02,4.41,0.0,69.8,8.98,34.7,32.2,3.39,1.69,69.8,0.17,0.0,0.17,36.1,147.6,65.9,0.17,0.34,0.0,0.51,0.17,44.6,0.0,0.85,0.34,0.34,1.36,0.51,0.17,0.0,0.17,0.0,0.0,6.27,2.37,1.36,€7.00m,7000000.0,5.911111111111111,34.0,86.06965174129353,91.55844155844154,95.12987012987013,63.934426229508205,0.0,0.0,100.0,63.53887399463807,15.76142084987672,0.3383458646616541,0.0,0.23007518796992482,0.028759398496240603,0.6310150375939849,6.107142857142857,0.057518796992481205,0.11503759398496241,1.0,0.23185150375939848,0.23185150375939848,4
Mario Hernández,ESP,FW,Rayo Vallecano,La Liga,24,1,0,1,0,0.0,0.0,0.0,27.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,€100k,100000.0,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.51293546492023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,7
Mario Lemina,GAB,MF,Wolves,Premier League,29,18,14,1030,0,0.32,0.0,0.0,26.400000000000002,0.0,0.0,0.0,99.30000000000001,111.8,1665.2,453.7,45.8,49.8,43.8,46.1,6.8999999999999995,11.39,0.0,0.9099999999999999,6.16,1.75,0.48,7.8100000000000005,111.8,110.5,1.02,1.02,0.11,1.13,0.7,0.0,0.0,0.0,0.0,0.0,99.30000000000001,0.32,0.9099999999999999,2.24,2.13,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,5.34,3.6899999999999995,2.61,1.99,0.75,1.77,2.42,0.65,4.26,1.02,3.2399999999999998,2.13,7.48,5.48,0.0,134.5,8.48,40.0,79.9,16.42,0.65,134.5,3.15,2.13,0.54,90.4,408.9,171.2,1.51,1.51,0.0,0.9099999999999999,2.01,92.3,2.0300000000000002,1.54,0.59,0.48,2.83,1.49,0.0,0.7,3.6899999999999995,0.0,0.0,13.809999999999999,2.44,0.43,€5.00m,5000000.0,11.444444444444445,0.0,88.81932021466906,91.96787148594377,95.0108459869848,60.579455662862145,73.14049586776859,67.61904761904762,17.142857142857146,85.01742160278745,15.424948670398354,0.0,0.0,0.19572815533980584,0.009611650485436893,0.6824271844660195,7.899029126213593,0.4666019417475728,0.18611650485436892,1.0,0.10883009708737865,0.10883009708737865,4
Marius Bülter,GER,FWMF,Schalke 04,Bundesliga,29,20,17,1490,3,0.42,7.142857142857143,7.142857142857143,17.1,0.0,0.12,0.12,16.9,28.1,258.2,85.3,10.1,12.6,4.88,8.37,1.14,2.95,0.0,1.39,1.63,1.45,0.72,3.19,28.1,27.2,0.6,0.0,0.12,0.24,4.04,0.6,0.0,0.0,0.0,0.0,16.9,0.24,1.51,3.19,2.23,0.06,0.18,0.42,0.3,0.0,0.12,0.06,0.0,0.0,0.06,0.0,0.0,0.72,0.3,0.42,0.12,0.18,0.42,0.84,0.42,0.96,0.0,0.96,0.48,1.2,0.6,0.0,39.6,0.66,4.94,15.2,20.1,4.76,39.5,2.35,0.6,1.39,23.0,140.8,65.8,2.53,1.45,0.84,2.83,1.2,27.8,6.93,0.24,0.0,0.0,0.96,1.63,0.24,4.04,0.3,0.0,0.0,4.34,1.69,2.29,€2.00m,2000000.0,16.555555555555557,13.999999999999998,60.14234875444839,80.15873015873017,58.30346475507766,38.644067796610166,50.0,25.53191489361702,59.148936170212764,42.462311557788944,14.508658238524095,0.18120805369127516,0.0,0.19268456375838924,0.007248322147651006,0.19268456375838924,1.3892617449664428,0.04348993288590603,0.028993288590604023,1.0,0.12231543624161073,0.12231543624161073,4
Marius Wolf,GER,DFFW,Dortmund,Bundesliga,27,13,7,691,1,0.52,1.923076923076923,1.923076923076923,19.3,0.0,0.0,0.0,40.5,54.0,651.8,249.1,20.3,23.4,15.5,19.4,3.38,6.75,0.13,1.3,3.12,1.82,0.91,4.16,54.0,45.6,8.44,1.04,0.0,0.65,3.64,7.4,0.0,0.0,0.0,0.0,40.5,0.0,2.08,2.34,1.82,0.0,0.26,0.0,0.13,0.13,0.39,0.26,0.0,0.13,0.0,0.0,0.0,1.17,0.78,0.39,0.39,0.39,0.65,0.91,0.26,2.47,0.78,1.69,1.3,2.47,1.43,0.0,66.0,2.21,17.0,28.3,22.2,2.99,66.0,2.73,1.56,0.78,37.5,196.6,109.0,3.38,2.99,0.65,1.82,0.65,42.1,9.09,0.13,0.0,0.0,0.91,1.56,0.39,3.64,0.78,0.0,0.0,5.32,0.65,0.26,€2.50m,2500000.0,7.677777777777778,52.0,75.0,86.75213675213676,79.89690721649485,50.07407407407407,71.42857142857143,57.14285714285714,28.57142857142857,71.42857142857143,14.731801689838349,0.13024602026049203,0.016931982633863966,0.30477568740955135,0.05079594790159189,0.5418234442836469,4.8842257597684515,0.15238784370477568,0.16931982633863965,1.0,0.17172937771345875,0.17172937771345875,4
Mark Flekken,NED,GK,Freiburg,Bundesliga,29,20,20,1800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.1,41.3,987.1,735.9,2.9,2.95,14.2,14.4,12.9,23.6,0.0,0.1,1.75,0.15,0.0,0.0,41.3,32.0,9.0,2.55,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,30.1,0.2,0.05,0.25,0.15,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.2,0.15,43.5,34.8,43.0,0.7,0.0,0.0,43.5,0.1,0.1,0.0,26.5,159.4,96.3,0.0,0.0,0.0,0.0,0.0,20.9,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1.9,0.2,0.0,€8.00m,8000000.0,20.0,0.0,72.88135593220339,98.3050847457627,98.6111111111111,54.66101694915254,0.0,100.0,0.0,100.0,15.894952224644102,0.0,0.0,0.0125,0.0,0.0,1.325,0.0,0.0,1.0,0.0025000000000000005,0.0025000000000000005,4
Mark Travers,IRL,GK,Bournemouth,Premier League,23,11,10,945,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,30.9,687.7,498.1,7.9,7.9,7.81,7.9,7.43,15.0,0.0,0.0,0.38,0.0,0.0,0.0,30.9,17.3,13.5,3.05,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.57,0.0,33.7,31.2,33.6,0.1,0.0,0.0,33.7,0.0,0.0,0.0,15.1,74.9,39.3,0.0,0.0,0.0,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.29,0.0,€4.00m,4000000.0,10.5,0.0,75.08090614886731,100.0,98.86075949367088,49.53333333333333,0.0,0.0,0.0,100.0,15.201805169084134,0.0,0.0,0.0,0.0,0.0,1.438095238095238,0.0,0.0,1.4,0.0,0.0,7
Marko Arnautovi?,AUT,FW,Bologna,Serie A,33,14,14,1189,8,0.76,10.526315789473685,10.526315789473685,15.7,0.0,0.23,0.23,19.5,27.6,276.4,49.1,11.0,14.2,6.21,7.95,0.83,1.52,0.0,1.44,0.98,0.91,0.08,2.12,27.6,24.8,2.35,0.0,0.15,0.0,0.61,0.23,0.0,0.0,0.0,0.0,19.5,0.45,0.91,2.58,2.12,0.0,0.15,0.15,0.15,0.0,0.23,0.15,0.0,0.08,0.0,0.0,0.0,0.61,0.38,0.15,0.3,0.15,0.08,0.3,0.23,0.53,0.08,0.45,0.15,0.76,0.61,0.0,36.3,0.91,2.35,19.0,15.3,3.41,36.1,1.29,0.53,0.68,20.5,94.6,31.1,0.83,0.76,0.45,2.27,1.21,28.8,6.36,0.3,0.0,0.0,1.36,0.98,0.76,0.61,0.38,0.0,0.0,2.05,0.53,0.76,€2.50m,2500000.0,13.21111111111111,9.5,70.65217391304347,77.46478873239437,78.11320754716981,54.60526315789473,26.666666666666668,41.08527131782946,52.71317829457365,41.08527131782946,14.731801689838349,0.6055508830950379,0.0,0.19529015979814973,0.01740958788898234,0.16047098402018506,1.5517241379310345,0.04617325483599664,0.011354079058031959,1.0,0.2696593776282591,0.2696593776282591,4
